date_key,date,fiscal_year,fiscal_quarter,month,full_date,month_key
20180429,2018-04-29,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 29",201804
20180430,2018-04-30,FY2018,FY2018 Q4,2018 Apr,"2018 Apr, 30",201804
20180501,2018-05-01,FY2018,FY2018 Q4,2018 May,"2018 May, 01",201805
20180502,2018-05-02,FY2018,FY2018 Q4,2018 May,"2018 May, 02",201805
20180503,2018-05-03,FY2018,FY2018 Q4,2018 May,"2018 May, 03",201805
20180504,2018-05-04,FY2018,FY2018 Q4,2018 May,"2018 May, 04",201805
20180505,2018-05-05,FY2018,FY2018 Q4,2018 May,"2018 May, 05",201805
20180506,2018-05-06,FY2018,FY2018 Q4,2018 May,"2018 May, 06",201805
20180507,2018-05-07,FY2018,FY2018 Q4,2018 May,"2018 May, 07",201805
20180508,2018-05-08,FY2018,FY2018 Q4,2018 May,"2018 May, 08",201805
20180509,2018-05-09,FY2018,FY2018 Q4,2018 May,"2018 May, 09",201805
20180510,2018-05-10,FY2018,FY2018 Q4,2018 May,"2018 May, 10",201805
20180511,2018-05-11,FY2018,FY2018 Q4,2018 May,"2018 May, 11",201805
20180512,2018-05-12,FY2018,FY2018 Q4,2018 May,"2018 May, 12",201805
20180513,2018-05-13,FY2018,FY2018 Q4,2018 May,"2018 May, 13",201805
20180514,2018-05-14,FY2018,FY2018 Q4,2018 May,"2018 May, 14",201805
20180515,2018-05-15,FY2018,FY2018 Q4,2018 May,"2018 May, 15",201805
20180516,2018-05-16,FY2018,FY2018 Q4,2018 May,"2018 May, 16",201805
20180517,2018-05-17,FY2018,FY2018 Q4,2018 May,"2018 May, 17",201805
20180518,2018-05-18,FY2018,FY2018 Q4,2018 May,"2018 May, 18",201805
20180519,2018-05-19,FY2018,FY2018 Q4,2018 May,"2018 May, 19",201805
20180520,2018-05-20,FY2018,FY2018 Q4,2018 May,"2018 May, 20",201805
20180521,2018-05-21,FY2018,FY2018 Q4,2018 May,"2018 May, 21",201805
20180522,2018-05-22,FY2018,FY2018 Q4,2018 May,"2018 May, 22",201805
20180523,2018-05-23,FY2018,FY2018 Q4,2018 May,"2018 May, 23",201805
20180524,2018-05-24,FY2018,FY2018 Q4,2018 May,"2018 May, 24",201805
20180525,2018-05-25,FY2018,FY2018 Q4,2018 May,"2018 May, 25",201805
20180526,2018-05-26,FY2018,FY2018 Q4,2018 May,"2018 May, 26",201805
20180527,2018-05-27,FY2018,FY2018 Q4,2018 May,"2018 May, 27",201805
20180528,2018-05-28,FY2018,FY2018 Q4,2018 May,"2018 May, 28",201805
20180529,2018-05-29,FY2018,FY2018 Q4,2018 May,"2018 May, 29",201805
20180530,2018-05-30,FY2018,FY2018 Q4,2018 May,"2018 May, 30",201805
20180531,2018-05-31,FY2018,FY2018 Q4,2018 May,"2018 May, 31",201805
20180601,2018-06-01,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 01",201806
20180602,2018-06-02,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 02",201806
20180603,2018-06-03,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 03",201806
20180604,2018-06-04,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 04",201806
20180605,2018-06-05,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 05",201806
20180606,2018-06-06,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 06",201806
20180607,2018-06-07,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 07",201806
20180608,2018-06-08,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 08",201806
20180609,2018-06-09,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 09",201806
20180610,2018-06-10,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 10",201806
20180611,2018-06-11,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 11",201806
20180612,2018-06-12,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 12",201806
20180613,2018-06-13,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 13",201806
20180614,2018-06-14,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 14",201806
20180615,2018-06-15,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 15",201806
20180616,2018-06-16,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 16",201806
20180617,2018-06-17,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 17",201806
20180618,2018-06-18,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 18",201806
20180619,2018-06-19,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 19",201806
20180620,2018-06-20,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 20",201806
20180621,2018-06-21,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 21",201806
20180622,2018-06-22,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 22",201806
20180623,2018-06-23,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 23",201806
20180624,2018-06-24,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 24",201806
20180625,2018-06-25,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 25",201806
20180626,2018-06-26,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 26",201806
20180627,2018-06-27,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 27",201806
20180628,2018-06-28,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 28",201806
20180629,2018-06-29,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 29",201806
20180630,2018-06-30,FY2018,FY2018 Q4,2018 Jun,"2018 Jun, 30",201806
20180701,2018-07-01,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 01",201807
20180702,2018-07-02,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 02",201807
20180703,2018-07-03,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 03",201807
20180704,2018-07-04,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 04",201807
20180705,2018-07-05,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 05",201807
20180706,2018-07-06,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 06",201807
20180707,2018-07-07,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 07",201807
20180708,2018-07-08,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 08",201807
20180709,2018-07-09,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 09",201807
20180710,2018-07-10,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 10",201807
20180711,2018-07-11,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 11",201807
20180712,2018-07-12,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 12",201807
20180713,2018-07-13,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 13",201807
20180714,2018-07-14,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 14",201807
20180715,2018-07-15,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 15",201807
20180716,2018-07-16,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 16",201807
20180717,2018-07-17,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 17",201807
20180718,2018-07-18,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 18",201807
20180719,2018-07-19,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 19",201807
20180720,2018-07-20,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 20",201807
20180721,2018-07-21,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 21",201807
20180722,2018-07-22,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 22",201807
20180723,2018-07-23,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 23",201807
20180724,2018-07-24,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 24",201807
20180725,2018-07-25,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 25",201807
20180726,2018-07-26,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 26",201807
20180727,2018-07-27,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 27",201807
20180728,2018-07-28,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 28",201807
20180729,2018-07-29,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 29",201807
20180730,2018-07-30,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 30",201807
20180731,2018-07-31,FY2019,FY2019 Q1,2018 Jul,"2018 Jul, 31",201807
20180801,2018-08-01,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 01",201808
20180802,2018-08-02,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 02",201808
20180803,2018-08-03,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 03",201808
20180804,2018-08-04,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 04",201808
20180805,2018-08-05,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 05",201808
20180806,2018-08-06,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 06",201808
20180807,2018-08-07,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 07",201808
20180808,2018-08-08,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 08",201808
20180809,2018-08-09,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 09",201808
20180810,2018-08-10,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 10",201808
20180811,2018-08-11,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 11",201808
20180812,2018-08-12,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 12",201808
20180813,2018-08-13,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 13",201808
20180814,2018-08-14,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 14",201808
20180815,2018-08-15,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 15",201808
20180816,2018-08-16,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 16",201808
20180817,2018-08-17,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 17",201808
20180818,2018-08-18,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 18",201808
20180819,2018-08-19,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 19",201808
20180820,2018-08-20,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 20",201808
20180821,2018-08-21,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 21",201808
20180822,2018-08-22,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 22",201808
20180823,2018-08-23,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 23",201808
20180824,2018-08-24,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 24",201808
20180825,2018-08-25,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 25",201808
20180826,2018-08-26,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 26",201808
20180827,2018-08-27,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 27",201808
20180828,2018-08-28,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 28",201808
20180829,2018-08-29,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 29",201808
20180830,2018-08-30,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 30",201808
20180831,2018-08-31,FY2019,FY2019 Q1,2018 Aug,"2018 Aug, 31",201808
20180901,2018-09-01,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 01",201809
20180902,2018-09-02,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 02",201809
20180903,2018-09-03,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 03",201809
20180904,2018-09-04,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 04",201809
20180905,2018-09-05,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 05",201809
20180906,2018-09-06,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 06",201809
20180907,2018-09-07,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 07",201809
20180908,2018-09-08,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 08",201809
20180909,2018-09-09,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 09",201809
20180910,2018-09-10,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 10",201809
20180911,2018-09-11,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 11",201809
20180912,2018-09-12,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 12",201809
20180913,2018-09-13,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 13",201809
20180914,2018-09-14,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 14",201809
20180915,2018-09-15,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 15",201809
20180916,2018-09-16,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 16",201809
20180917,2018-09-17,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 17",201809
20180918,2018-09-18,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 18",201809
20180919,2018-09-19,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 19",201809
20180920,2018-09-20,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 20",201809
20180921,2018-09-21,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 21",201809
20180922,2018-09-22,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 22",201809
20180923,2018-09-23,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 23",201809
20180924,2018-09-24,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 24",201809
20180925,2018-09-25,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 25",201809
20180926,2018-09-26,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 26",201809
20180927,2018-09-27,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 27",201809
20180928,2018-09-28,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 28",201809
20180929,2018-09-29,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 29",201809
20180930,2018-09-30,FY2019,FY2019 Q1,2018 Sep,"2018 Sep, 30",201809
20181001,2018-10-01,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 01",201810
20181002,2018-10-02,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 02",201810
20181003,2018-10-03,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 03",201810
20181004,2018-10-04,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 04",201810
20181005,2018-10-05,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 05",201810
20181006,2018-10-06,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 06",201810
20181007,2018-10-07,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 07",201810
20181008,2018-10-08,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 08",201810
20181009,2018-10-09,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 09",201810
20181010,2018-10-10,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 10",201810
20181011,2018-10-11,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 11",201810
20181012,2018-10-12,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 12",201810
20181013,2018-10-13,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 13",201810
20181014,2018-10-14,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 14",201810
20181015,2018-10-15,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 15",201810
20181016,2018-10-16,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 16",201810
20181017,2018-10-17,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 17",201810
20181018,2018-10-18,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 18",201810
20181019,2018-10-19,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 19",201810
20181020,2018-10-20,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 20",201810
20181021,2018-10-21,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 21",201810
20181022,2018-10-22,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 22",201810
20181023,2018-10-23,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 23",201810
20181024,2018-10-24,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 24",201810
20181025,2018-10-25,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 25",201810
20181026,2018-10-26,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 26",201810
20181027,2018-10-27,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 27",201810
20181028,2018-10-28,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 28",201810
20181029,2018-10-29,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 29",201810
20181030,2018-10-30,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 30",201810
20181031,2018-10-31,FY2019,FY2019 Q2,2018 Oct,"2018 Oct, 31",201810
20181101,2018-11-01,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 01",201811
20181102,2018-11-02,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 02",201811
20181103,2018-11-03,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 03",201811
20181104,2018-11-04,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 04",201811
20181105,2018-11-05,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 05",201811
20181106,2018-11-06,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 06",201811
20181107,2018-11-07,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 07",201811
20181108,2018-11-08,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 08",201811
20181109,2018-11-09,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 09",201811
20181110,2018-11-10,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 10",201811
20181111,2018-11-11,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 11",201811
20181112,2018-11-12,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 12",201811
20181113,2018-11-13,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 13",201811
20181114,2018-11-14,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 14",201811
20181115,2018-11-15,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 15",201811
20181116,2018-11-16,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 16",201811
20181117,2018-11-17,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 17",201811
20181118,2018-11-18,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 18",201811
20181119,2018-11-19,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 19",201811
20181120,2018-11-20,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 20",201811
20181121,2018-11-21,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 21",201811
20181122,2018-11-22,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 22",201811
20181123,2018-11-23,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 23",201811
20181124,2018-11-24,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 24",201811
20181125,2018-11-25,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 25",201811
20181126,2018-11-26,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 26",201811
20181127,2018-11-27,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 27",201811
20181128,2018-11-28,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 28",201811
20181129,2018-11-29,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 29",201811
20181130,2018-11-30,FY2019,FY2019 Q2,2018 Nov,"2018 Nov, 30",201811
20181201,2018-12-01,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 01",201812
20181202,2018-12-02,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 02",201812
20181203,2018-12-03,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 03",201812
20181204,2018-12-04,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 04",201812
20181205,2018-12-05,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 05",201812
20181206,2018-12-06,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 06",201812
20181207,2018-12-07,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 07",201812
20181208,2018-12-08,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 08",201812
20181209,2018-12-09,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 09",201812
20181210,2018-12-10,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 10",201812
20181211,2018-12-11,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 11",201812
20181212,2018-12-12,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 12",201812
20181213,2018-12-13,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 13",201812
20181214,2018-12-14,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 14",201812
20181215,2018-12-15,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 15",201812
20181216,2018-12-16,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 16",201812
20181217,2018-12-17,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 17",201812
20181218,2018-12-18,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 18",201812
20181219,2018-12-19,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 19",201812
20181220,2018-12-20,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 20",201812
20181221,2018-12-21,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 21",201812
20181222,2018-12-22,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 22",201812
20181223,2018-12-23,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 23",201812
20181224,2018-12-24,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 24",201812
20181225,2018-12-25,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 25",201812
20181226,2018-12-26,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 26",201812
20181227,2018-12-27,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 27",201812
20181228,2018-12-28,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 28",201812
20181229,2018-12-29,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 29",201812
20181230,2018-12-30,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 30",201812
20181231,2018-12-31,FY2019,FY2019 Q2,2018 Dec,"2018 Dec, 31",201812
20190101,2019-01-01,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 01",201901
20190102,2019-01-02,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 02",201901
20190103,2019-01-03,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 03",201901
20190104,2019-01-04,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 04",201901
20190105,2019-01-05,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 05",201901
20190106,2019-01-06,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 06",201901
20190107,2019-01-07,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 07",201901
20190108,2019-01-08,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 08",201901
20190109,2019-01-09,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 09",201901
20190110,2019-01-10,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 10",201901
20190111,2019-01-11,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 11",201901
20190112,2019-01-12,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 12",201901
20190113,2019-01-13,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 13",201901
20190114,2019-01-14,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 14",201901
20190115,2019-01-15,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 15",201901
20190116,2019-01-16,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 16",201901
20190117,2019-01-17,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 17",201901
20190118,2019-01-18,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 18",201901
20190119,2019-01-19,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 19",201901
20190120,2019-01-20,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 20",201901
20190121,2019-01-21,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 21",201901
20190122,2019-01-22,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 22",201901
20190123,2019-01-23,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 23",201901
20190124,2019-01-24,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 24",201901
20190125,2019-01-25,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 25",201901
20190126,2019-01-26,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 26",201901
20190127,2019-01-27,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 27",201901
20190128,2019-01-28,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 28",201901
20190129,2019-01-29,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 29",201901
20190130,2019-01-30,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 30",201901
20190131,2019-01-31,FY2019,FY2019 Q3,2019 Jan,"2019 Jan, 31",201901
20190201,2019-02-01,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 01",201902
20190202,2019-02-02,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 02",201902
20190203,2019-02-03,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 03",201902
20190204,2019-02-04,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 04",201902
20190205,2019-02-05,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 05",201902
20190206,2019-02-06,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 06",201902
20190207,2019-02-07,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 07",201902
20190208,2019-02-08,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 08",201902
20190209,2019-02-09,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 09",201902
20190210,2019-02-10,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 10",201902
20190211,2019-02-11,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 11",201902
20190212,2019-02-12,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 12",201902
20190213,2019-02-13,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 13",201902
20190214,2019-02-14,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 14",201902
20190215,2019-02-15,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 15",201902
20190216,2019-02-16,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 16",201902
20190217,2019-02-17,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 17",201902
20190218,2019-02-18,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 18",201902
20190219,2019-02-19,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 19",201902
20190220,2019-02-20,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 20",201902
20190221,2019-02-21,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 21",201902
20190222,2019-02-22,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 22",201902
20190223,2019-02-23,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 23",201902
20190224,2019-02-24,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 24",201902
20190225,2019-02-25,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 25",201902
20190226,2019-02-26,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 26",201902
20190227,2019-02-27,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 27",201902
20190228,2019-02-28,FY2019,FY2019 Q3,2019 Feb,"2019 Feb, 28",201902
